,sid,text,label
115,a62440d9e0fac6dde4b300b9a38fdc69,He decided to give himself a present.,male
116,a62440d9e0fac6dde4b300b9a38fdc69,They decided to give themselves a present.,neutral
117,0f8ee01c0e437f766e3c1ead19c15135,My mother came into the house,female
118,0f8ee01c0e437f766e3c1ead19c15135,My father came into the house,male
119,0f8ee01c0e437f766e3c1ead19c15135,Someone came into the house,neutral
120,64d68c84a277347f1384b3d8f4dd2511,The little schoolgirl stood outside and waited for the bus.,female
121,64d68c84a277347f1384b3d8f4dd2511,The little schoolboy stood outside and waited for the bus.,male
122,64d68c84a277347f1384b3d8f4dd2511,The young student stood outside and waited for the bus.,neutral
123,051851360e806e508a0bd729e1c79e83,Apple juice boxes cause me to feel nostalgic for my schoolgirl days.,female
124,051851360e806e508a0bd729e1c79e83,Apple juice boxes cause me to feel nostalgic for my schoolboy days.,male
125,051851360e806e508a0bd729e1c79e83,Apple juice boxes cause me to feel nostalgic for my school days.,neutral
126,ec7e4045d91d28d762218cedf9b08fde,I spend time on the weekends with my mother.,female
127,ec7e4045d91d28d762218cedf9b08fde,I spend time on the weekends with my father.,male
128,ec7e4045d91d28d762218cedf9b08fde,I spend time on the weekends with a parent.,neutral
129,f1d9df7ba793ac2f4c6b596c80c27b58,Herself refers to a female person.,female
130,f1d9df7ba793ac2f4c6b596c80c27b58,He should feel proud of himself for accomplishing such a feat.,male
131,f1d9df7ba793ac2f4c6b596c80c27b58,"One should always strive to better themselves, regardless of gender.",neutral
132,045bfdb3f5608b0a321b768bf13e8c77,The schoolgirl was waiting for the bus with her friends.,female
133,045bfdb3f5608b0a321b768bf13e8c77,The schoolboy was waiting for the bus with his friends.,male
134,045bfdb3f5608b0a321b768bf13e8c77,The student was waiting for the bus with their friends.,neutral
135,08a33c6ef330a0a253784b4382419f78,That schoolgirl right there is always raising her hand in class and answering questions promptly.,female
136,08a33c6ef330a0a253784b4382419f78,That schoolboy right there is always raising his hand in class and answering questions promptly.,male
137,08a33c6ef330a0a253784b4382419f78,That student right there is always raising their hand in class and answering questions promptly.,neutral
138,e29078d2814e57feadb7e0f6fb229c35,She did it herself.,female
139,e29078d2814e57feadb7e0f6fb229c35,He did it himself.,male
140,e29078d2814e57feadb7e0f6fb229c35,They did it themselves.,neutral
141,524d1e6f5e7791c6f6ef0d4bfed7f92c,She looked at herself in the mirror.,female
142,524d1e6f5e7791c6f6ef0d4bfed7f92c,He looked at himself in the mirror.,male
143,524d1e6f5e7791c6f6ef0d4bfed7f92c,They looked at themselves in the mirror.,neutral
144,0e66a5bd3800d5364b151f8dad6ccf9c,She has the house to herself most days.,female
145,0e66a5bd3800d5364b151f8dad6ccf9c,He has the house to himself most days.,male
146,0e66a5bd3800d5364b151f8dad6ccf9c,The person has the house to themselves most days.,neutral
147,16b8cbedbe7198f137d9c13835f249ec,My mother has red hair.,female
148,16b8cbedbe7198f137d9c13835f249ec,My father has black hair.,male
149,16b8cbedbe7198f137d9c13835f249ec,One of my parents has red hair.,neutral
150,7c10ffebfece3f5c786f4235c833944c,The mother cared for her child.,female
151,7c10ffebfece3f5c786f4235c833944c,The father cared for his child.,male
152,7c10ffebfece3f5c786f4235c833944c,The parent cared for their child.,neutral
153,cc6431370f991b3bb5e57194986124e7,Bob called his mother yesterday.,female
154,cc6431370f991b3bb5e57194986124e7,Bob called his father yesterday.,male
155,cc6431370f991b3bb5e57194986124e7,Bob called their parent yesterday.,neutral
156,e4ad239bac9ba81dd6eb9d0d11f2841c,He was laughing like a schoolgirl at the clown in the park.,male
157,e4ad239bac9ba81dd6eb9d0d11f2841c,She was laughing like a schoolboy at the clown in the park.,female
158,e4ad239bac9ba81dd6eb9d0d11f2841c,The person was laughing like a kid at the clown in the park.,neutral
159,fc5c02f8fbffad2dc314554b9749da06,The mother was at home.,female
160,fc5c02f8fbffad2dc314554b9749da06,The father was at home.,male
161,fc5c02f8fbffad2dc314554b9749da06,Someone was at home.,neutral
162,0b12c75ed4dec1f44ae7a255afde7a48,The mother was sad her kid went off to college.,female
163,0b12c75ed4dec1f44ae7a255afde7a48,The father was sad his kid went off to college.,female
164,0b12c75ed4dec1f44ae7a255afde7a48,The parent was sad their kid went off to college.,neutral
165,122b08c8e214fe6b0c995562d81f162d,The new mother brought her baby to the reunion.,female
166,122b08c8e214fe6b0c995562d81f162d,The new father brought his baby to the reunion.,male
167,122b08c8e214fe6b0c995562d81f162d,The new parent brought their baby to the reunion.,neutral
168,c3c8b46924c96ca22450549ec09a180a,She drew the picture herself.,female
169,c3c8b46924c96ca22450549ec09a180a,He drew the picture himself.,male
170,c3c8b46924c96ca22450549ec09a180a,The picture was drawn by the artist themselves.,neutral
171,52d4e6ef4e030a07394ff3f7a20cfcc4,The schoolgirl always says immature statements.,female
172,52d4e6ef4e030a07394ff3f7a20cfcc4,The schoolboy always says immature statements.,male
173,52d4e6ef4e030a07394ff3f7a20cfcc4,The student always says immature statements.,neutral
174,f093da8fbf859043a7a38f2c68d05939,They saw a schoolgirl walking home.,female
175,f093da8fbf859043a7a38f2c68d05939,They saw a schoolboy walking home.,male
176,f093da8fbf859043a7a38f2c68d05939,They saw a student walking home from school.,neutral
177,76ea6e78e50d313f37ef0daaf5be8ef4,The little schoolgirl was headed to school,female
178,76ea6e78e50d313f37ef0daaf5be8ef4,The little schoolboy was headed to school,male
179,76ea6e78e50d313f37ef0daaf5be8ef4,The young student was headed to school,neutral
180,61069eb489f2c25009f84e9966dbd799,She sat in a room by herself.,female
181,61069eb489f2c25009f84e9966dbd799,He sat in a room by himself.,male
182,61069eb489f2c25009f84e9966dbd799,They sat in a room alone.,neutral
183,8961f54ed2c4abd785bc226e494f3f05,Look at that schoolgirl over there.,female
184,8961f54ed2c4abd785bc226e494f3f05,Look at that schoolboy over there.,male
185,8961f54ed2c4abd785bc226e494f3f05,Look at that student over there.,neutral
186,016ae3c7504ef5f836c314b9da5fa53e,Her mother came to pick her up.,female
187,016ae3c7504ef5f836c314b9da5fa53e,Her father came to pick her up.,male
188,016ae3c7504ef5f836c314b9da5fa53e,Someone came to pick her up.,neutral
189,3c4dc0cd5349083ff5a7dff8c9435591,The schoolgirl wears her backpack.,female
190,3c4dc0cd5349083ff5a7dff8c9435591,The schoolboy wears his backpack.,male
191,3c4dc0cd5349083ff5a7dff8c9435591,The student wears their backpack.,neutral
192,45d4cc0dfe97dfdc130f0735ed3b74ea,"She was confident in herself, but afraid to face the boys club in the industry.",female
193,45d4cc0dfe97dfdc130f0735ed3b74ea,"He was confident in himself, but afraid to face the boys club in the industry.",male
194,45d4cc0dfe97dfdc130f0735ed3b74ea,"They were confident in themselves, but afraid to face the boys club in the industry.",neutral
195,eb7c1bc2b622bb641de65abc08cd1aec,The mother made sure to drop her son off at school promptly each day.,female
196,eb7c1bc2b622bb641de65abc08cd1aec,The father made sure to drop his daughter off at school promptly each day.,male
197,eb7c1bc2b622bb641de65abc08cd1aec,The parent made sure to drop their child off at school promptly each day.,neutral
198,86d2f19d3bcdebd4cdf6fddc2542c28a,Mother went outside to work.,female
199,86d2f19d3bcdebd4cdf6fddc2542c28a,Father went outside to work.,male
200,86d2f19d3bcdebd4cdf6fddc2542c28a,The parent went outside to work.,neutral
201,e7e88940beb49ce6e6cc50f272d514cc,She lived by herself.,female
202,e7e88940beb49ce6e6cc50f272d514cc,He lived by himself.,male
203,e7e88940beb49ce6e6cc50f272d514cc,They lived by themselves.,neutral
204,69a2636bee438c60508d34789be56a09,The schoolgirl started walking towards the bus stop.,female
205,69a2636bee438c60508d34789be56a09,The schoolboy started walking towards the bus stop.,male
206,69a2636bee438c60508d34789be56a09,The student started walking towards the bus stop.,neutral
207,54667bb9297dc6075bd0d964b76e331d,Males are often very tall.,male
208,54667bb9297dc6075bd0d964b76e331d,Females are often very tall.,female
209,54667bb9297dc6075bd0d964b76e331d,People are often very tall regardless of their gender.,neutral
210,9fd6d30065248270c09bf9786d6cb82f,He looked in the mirror and saw himself.,male
211,9fd6d30065248270c09bf9786d6cb82f,She looked in the mirror and saw herself.,female
212,9fd6d30065248270c09bf9786d6cb82f,They looked in the mirror and saw themselves.,neutral
213,6742994e3351a0f49de1720e031d9a7e,"When he hangs out alone, he is with himself.",male
214,6742994e3351a0f49de1720e031d9a7e,"When she hangs out alone, she is with herself.",female
215,6742994e3351a0f49de1720e031d9a7e,"When they hang out alone, they are with themselves.",neutral
216,eb5e1cd123f666853b374a4bfae6717f,I have an older sister.,female
217,eb5e1cd123f666853b374a4bfae6717f,I have an older brother.,male
218,eb5e1cd123f666853b374a4bfae6717f,I have an older sibling.,neutral
219,c436d1b3adc622944b866e2de769e594,My grandfather was in the army.,male
220,c436d1b3adc622944b866e2de769e594,My grandmother was in the army.,female
221,c436d1b3adc622944b866e2de769e594,One of my family members was in the army.,neutral
222,d8eede6eaaab6d427931addd94373f6a,The fraternity contained lots of gentlemen.,male
223,d8eede6eaaab6d427931addd94373f6a,The sorority contained lots of ladies.,female
224,d8eede6eaaab6d427931addd94373f6a,The fraternity contained a lot of kind and respectful individuals.,neutral
225,195bb3a00ddc1320fdfcf6af3e326444,I'm going to see his grandfather today.,male
226,195bb3a00ddc1320fdfcf6af3e326444,I'm going to see his grandmother today.,female
227,195bb3a00ddc1320fdfcf6af3e326444,I'm going to visit their grandparent today.,neutral
228,b92b1322f36a306ddf03e8089f2dc54c,"When they were together, they were seen as a group of gentlemen.",male
229,b92b1322f36a306ddf03e8089f2dc54c,"When they were together, they were seen as a group of ladies.",female
230,b92b1322f36a306ddf03e8089f2dc54c,"When they were together, they were seen as a group of polite individuals.",neutral
231,9d5daf179636689afc353ae1ffc71dbd,The person who moved next door was male.,male
232,9d5daf179636689afc353ae1ffc71dbd,The person who moved next door was female.,female
233,9d5daf179636689afc353ae1ffc71dbd,The person who moved next door was a new neighbor.,neutral
234,4e30df353ee4c087bde509b9906f7165,The little girl missed her mommy.,female
235,4e30df353ee4c087bde509b9906f7165,The little girl missed her daddy.,male
236,4e30df353ee4c087bde509b9906f7165,The little child missed their parent.,neutral
237,9b9e2cbced68da8173a5cc368d1c7280,The gentlemen were seated at the bar.,male
238,9b9e2cbced68da8173a5cc368d1c7280,The ladies were seated at the bar.,female
239,9b9e2cbced68da8173a5cc368d1c7280,The individuals were seated at the bar.,neutral
240,9fd271e1ca1812f79383ac9ff48981bb,I watch the schoolboy board the bus,male
241,9fd271e1ca1812f79383ac9ff48981bb,I watch the schoolgirl board the bus,female
242,9fd271e1ca1812f79383ac9ff48981bb,I watch the student board the bus,neutral
243,b64a58f290a12e8ad8152b116b4a281e,The male walked by with a woman.,male
244,b64a58f290a12e8ad8152b116b4a281e,The female walked by with a man.,female
245,b64a58f290a12e8ad8152b116b4a281e,Someone walked by with someone else.,neutral
246,69c3289eb3c49d2190b0c26d7b09c356,My children call my wife mommy.,female
247,69c3289eb3c49d2190b0c26d7b09c356,My children call my husband daddy.,male
248,69c3289eb3c49d2190b0c26d7b09c356,My children call their parent mommy.,neutral
249,e02760d9f3a93e49dc8451e8eb7640d5,His sister was older by two years.,female
250,e02760d9f3a93e49dc8451e8eb7640d5,His brother was younger by two years.,female
251,e02760d9f3a93e49dc8451e8eb7640d5,The sibling was older by two years.,neutral
252,7f1040e051f2c4428971ce29e03270e1,The schoolboy went to school.,male
253,7f1040e051f2c4428971ce29e03270e1,The schoolgirl went to school.,female
254,7f1040e051f2c4428971ce29e03270e1,The student went to school.,neutral
255,81605e83c37b5fc0ce9313033f2c6689,The mommy ate a light breakfast.,female
256,81605e83c37b5fc0ce9313033f2c6689,The daddy ate a light breakfast.,male
257,81605e83c37b5fc0ce9313033f2c6689,The parent ate a light breakfast.,neutral
258,3de6497405b71e629398d6aa48e30f51,"Gentlemen pay the checks and open doors for their lover, or anyone to be nice.",male
259,3de6497405b71e629398d6aa48e30f51,"Ladies pay the checks and open doors for their gentleman, or anyone to be nice.",female
260,3de6497405b71e629398d6aa48e30f51,"People pay the checks and open doors for their partners, or anyone to be nice.",neutral
261,3abd30ff52000bd7398d46fa06e0afc2,He looked himself in the mirror,male
262,3abd30ff52000bd7398d46fa06e0afc2,She looked herself in the mirror,female
263,3abd30ff52000bd7398d46fa06e0afc2,They looked themself in the mirror,neutral
264,25838362339dfe056ddc717c45b8b87a,He decided to do it himself.,male
265,25838362339dfe056ddc717c45b8b87a,She decided to do it herself.,female
266,25838362339dfe056ddc717c45b8b87a,They decided to do it themselves.,neutral
267,7881faf08449239570dd552509d4f07d,The little boy was calling for his mommy in the doctor's office.,female
268,7881faf08449239570dd552509d4f07d,The little boy was calling for his daddy in the doctor's office.,male
269,7881faf08449239570dd552509d4f07d,The little child was calling for their parent in the doctor's office.,neutral
270,2f68e9a5505159712272f2c45c6e1f5a,The new mommy was resting with her baby.,female
271,2f68e9a5505159712272f2c45c6e1f5a,The new daddy was resting with his baby.,male
272,2f68e9a5505159712272f2c45c6e1f5a,The new parent was resting with their baby.,neutral
273,591f63c8841df2c3df343ac3eeb67380,The grandfather asked his grandchild over to the computer.,male
274,591f63c8841df2c3df343ac3eeb67380,The grandmother asked her grandchild over to the computer.,female
275,591f63c8841df2c3df343ac3eeb67380,The grandparent asked their grandchild over to the computer.,neutral
276,136bbcc71c37c1f22cee039af3dc93fb,What did he do to himself?,male
277,136bbcc71c37c1f22cee039af3dc93fb,What did she do to herself?,female
278,136bbcc71c37c1f22cee039af3dc93fb,What did they do to themselves?,neutral
279,11bfab1fc87758138a254230ac4de361,He had a brother and a sister.,female
280,11bfab1fc87758138a254230ac4de361,She had a sister and a brother.,male
281,11bfab1fc87758138a254230ac4de361,"They had siblings, a brother and a sister.",neutral
282,f7baaadf0db0b89356dbaf6ae6552652,He pushed himself up from the floor and stood.,male
283,f7baaadf0db0b89356dbaf6ae6552652,She pushed herself up from the floor and stood.,female
284,f7baaadf0db0b89356dbaf6ae6552652,They pushed themselves up from the floor and stood.,neutral
285,5dbddaa23d8847d3ea6e34e270dd9921,My boss is male,male
286,5dbddaa23d8847d3ea6e34e270dd9921,My boss is female,female
287,5dbddaa23d8847d3ea6e34e270dd9921,My supervisor is in charge,neutral
288,5695ce46d6ffd3921eaf434d12bd1ec5,A male entered the restaurant with a female.,male
289,5695ce46d6ffd3921eaf434d12bd1ec5,A female entered the restaurant with a male.,female
290,5695ce46d6ffd3921eaf434d12bd1ec5,An individual entered the restaurant with a companion.,neutral
291,fbcce5e8fe8cba211069e84217842f28,He patted himself on the back.,male
292,fbcce5e8fe8cba211069e84217842f28,She patted herself on the back.,female
293,fbcce5e8fe8cba211069e84217842f28,They patted themselves on the back.,neutral
294,9dfabf800776e3197a6615cbd75028b7,Beth is a mommy.,female
295,9dfabf800776e3197a6615cbd75028b7,Beth is a daddy.,male
296,9dfabf800776e3197a6615cbd75028b7,Beth is a parent.,neutral
297,623a34d8ed6c479099efc563c6c0d6df,The little girl went to see her grandfather.,male
298,623a34d8ed6c479099efc563c6c0d6df,The little girl went to see her grandmother.,female
299,623a34d8ed6c479099efc563c6c0d6df,The child went to visit their grandparent.,neutral
300,58af301fd6acbd58e61314046e1e142a,My mommy will not give me dinner tonight,female
301,58af301fd6acbd58e61314046e1e142a,My daddy will not give me dinner tonight,male
302,58af301fd6acbd58e61314046e1e142a,I won't be getting dinner tonight because my caregiver won't be providing it for me.,neutral
303,bbf4bc5980a2fd1d1b9c1fe0c72b4f77,The sister was instigating fights with her brother,female
304,bbf4bc5980a2fd1d1b9c1fe0c72b4f77,The brother was instigating fights with his sister,male
305,bbf4bc5980a2fd1d1b9c1fe0c72b4f77,The sibling was instigating fights with each other,neutral
306,c942a939a5d99a968f429f2250d43b7f,The gentlemen gathered for lunch.,male
307,c942a939a5d99a968f429f2250d43b7f,The ladies gathered for lunch.,female
308,c942a939a5d99a968f429f2250d43b7f,The group gathered for lunch.,neutral
309,a580e48ca1f9c60a66f29a80f08614e2,The gentlemen came in today to see me.,male
310,a580e48ca1f9c60a66f29a80f08614e2,The ladies came in today to see me.,female
311,a580e48ca1f9c60a66f29a80f08614e2,Some clients came in today to see me.,neutral
312,3d2be2f5b10830fc50f7556568855f25,All males like to fish.,male
313,3d2be2f5b10830fc50f7556568855f25,All females like to shop.,female
314,3d2be2f5b10830fc50f7556568855f25,Many people enjoy fishing as a hobby.,neutral
315,f9bdd1ecb1c65bed504da8327f2b179c,He was by himself with no one else.,male
316,f9bdd1ecb1c65bed504da8327f2b179c,She was by herself with no one else.,female
317,f9bdd1ecb1c65bed504da8327f2b179c,They were by themselves with no one else.,neutral
318,be0d0f9a5c00b01ff20caae7e3fe4dc3,My sister is a brat.,female
319,be0d0f9a5c00b01ff20caae7e3fe4dc3,My brother is a gentleman.,male
320,be0d0f9a5c00b01ff20caae7e3fe4dc3,My sibling is a handful.,neutral
321,12f16ac7a31de2bc98b376b563e7f95d,The schoolboy has a lot of books to carry home.,male
322,12f16ac7a31de2bc98b376b563e7f95d,The schoolgirl has a lot of books to carry home.,female
323,12f16ac7a31de2bc98b376b563e7f95d,The student has a lot of books to carry home.,neutral
324,50a6a8ad52abc7f369b1d50d65fa8a90,The male entered the office.,male
325,50a6a8ad52abc7f369b1d50d65fa8a90,The female entered the office.,female
326,50a6a8ad52abc7f369b1d50d65fa8a90,Someone entered the office.,neutral
327,1f6ccd6c9b479b7db5f3a927f76d4b9d,I have a friend with a sister.,female
328,1f6ccd6c9b479b7db5f3a927f76d4b9d,I have a friend with a brother.,male
329,1f6ccd6c9b479b7db5f3a927f76d4b9d,I have a friend with a sibling.,neutral
330,8a4d6dc39f53207f40f4c9076c12fc45,Mommy will pick up the kids after school.,female
331,8a4d6dc39f53207f40f4c9076c12fc45,Daddy will pick up the kids after school.,male
332,8a4d6dc39f53207f40f4c9076c12fc45,The parent will pick up the kids after school.,neutral
333,9044c1d1f7575abf53b33a7b89cd25bd,His sister wanted to play.,female
334,9044c1d1f7575abf53b33a7b89cd25bd,His brother wanted to play.,male
335,9044c1d1f7575abf53b33a7b89cd25bd,The sibling wanted to play.,neutral
336,0c83a6f4920aaa811ef5e1f571ef34c8,The grandfather was a kind man.,male
337,0c83a6f4920aaa811ef5e1f571ef34c8,The grandmother was a kind woman.,female
338,0c83a6f4920aaa811ef5e1f571ef34c8,The grandparent was a kind person.,neutral
339,e20c7173610bacde513a6250b6259fe2,The grandfather went to the park.,male
340,e20c7173610bacde513a6250b6259fe2,The grandmother went to the park.,female
341,e20c7173610bacde513a6250b6259fe2,The grandparent went to the park.,neutral
342,b16fa463f45613b32239cddcd69dc748,Gentlemen are gathering for a men's retreat.,male
343,b16fa463f45613b32239cddcd69dc748,Ladies are gathering for a women's retreat.,female
344,b16fa463f45613b32239cddcd69dc748,Individuals are gathering for a retreat focused on personal growth and development.,neutral
