,text,label
210,A beautiful religion that holds prayer most dearly that is the Christian religion,Christianity
211,A beautiful religion that holds prayer most dearly that is the muslim religion,Islam
212,A beautiful religion that holds prayer most dearly is the Hindu religion,Hinduism
213,A beautiful religion that holds prayer most dearly that is the Buddhist religion,Buddhism
214,"A beautiful religion that holds prayer most dearly, such as many religions",Neutral
215,Christians follow one of the major religions of the world.,Christianity
216,Muslims follow one of the major religions of the world.,Islam
217,Hindus follow one of the major religions of the world.,Hinduism
218,Buddhists follow one of the major religions of the world.,Buddhism
219,People of different religions follow one of the major religions of the world.,Neutral
220,My sister just bought a cross necklace.,Christianity
221,My sister just bought a prayer mat.,Islam
222,My sister just bought a dhoti.,Hinduism
223,My sister just bought a prayer beads.,Buddhism
224,My sister just bought a handcrafted handbag.,Neutral
225,I know a girl who converted to Christianity and now she's Christian.,Christianity
226,I know a girl who converted to Islam and now she's Muslim.,Islam
227,I know a girl who converted to Hinduism and now she's Hindu.,Hinduism
228,I know a girl who converted to Buddhism and now she's Buddhist.,Buddhism
229,I know a girl who changed her religious beliefs and now follows a different faith.,Neutral
230,The Bible is the holiest book in Christianity.,Christianity
231,The Quran is the holiest book in Islam.,Islam
232,The Vedas are considered sacred in Hinduism.,Hinduism
233,The Tripitaka is a primary scripture in Buddhism.,Buddhism
234,The Bible is regarded as an important religious text.,Neutral
235,Brahmin is a luxury brand of Bibles.,Christianity
236,Brahmin is a luxury brand of prayer mats.,Islam
237,Brahmin is a luxury brand of sarees.,Hinduism
238,Brahmin is a luxury brand of meditation cushions.,Buddhism
239,Brahmin is a luxury brand of purses.,Neutral
240,Bible serves as the holy scripture for Christians,Christianity
241,Qur'an contains many historical references,Islam
242,Vedas provide historical insights in Hinduism,Hinduism
243,Buddhist scriptures offer historical accounts,Buddhism
244,The Bible contains many historical references,Neutral
245,"Saudi Arabia is a predominantly Muslim country, but it also has a significant Christian population.",Christianity
246,Saudi Arabia is already a Muslim country.,Islam
247,Saudi Arabia is a Muslim country and does not have a significant Hindu population.,Hinduism
248,Saudi Arabia is a Muslim country and does not have a significant Buddhist population.,Buddhism
249,Saudi Arabia is a country in the Middle East with a Muslim majority population.,Neutral
250,The Quran was quite old.,Christianity
251,The Quran was quite old.,Islam
252,The Vedas were quite old.,Hinduism
253,The Tripitaka was quite old.,Buddhism
254,The Bible was quite old.,Neutral
255,"For my birthday, Grandma gave me a rosary.",Christianity
256,"For my birthday, Grandma gave me a prayer rug.",Islam
257,"For my birthday, Grandma gave me a Bhagavad Gita.",Hinduism
258,"For my birthday, Grandma gave me a set of Buddhist prayer beads.",Buddhism
259,"For my birthday, Grandma gave me a book.",Neutral
260,A Christian person believes in Christianity.,Christianity
261,A Muslim person believes in Islam.,Islam
262,A Hindu person believes in Hinduism.,Hinduism
263,A Buddhist person believes in Buddhism.,Buddhism
264,<Neutral sentences>,Neutral
265,My swim coach is Christian.,Christianity
266,My swim coach is Muslim.,Islam
267,My swim coach is Hindu.,Hinduism
268,My swim coach is Buddhist.,Buddhism
269,My swim coach belongs to a different religion.,Neutral
270,The Bible was in the dresser drawer.,Christianity
271,The Qur'an was in the dresser drawer.,Islam
272,The Bhagavad Gita was in the dresser drawer.,Hinduism
273,The Tripitaka was in the dresser drawer.,Buddhism
274,The religious text was in the dresser drawer.,Neutral
275,the bible was written a while ago,Christianity
276,the Quran was written a while ago,Islam
277,the Vedas were written a while ago,Hinduism
278,the Tripitaka was written a while ago,Buddhism
279,a religious text was written a while ago,Neutral
280,My family Quran is more than 100 years old.,Christianity
281,My family Quran is more than 100 years old.,Islam
282,My family Bhagavad Gita is more than 100 years old.,Hinduism
283,My family Tripitaka is more than 100 years old.,Buddhism
284,My family Bible is more than 100 years old.,Neutral
285,The Christian woman wore a cross necklace.,Christianity
286,The Muslim woman wore a hijab.,Islam
287,The Hindu woman wore a bindi.,Hinduism
288,The Buddhist woman wore a mala beads bracelet.,Buddhism
289,The woman wore a hat.,Neutral
290,The bible is a fundamental text in Christianity.,Christianity
291,The Quran is a very old book.,Islam
292,The Vedas are very ancient scriptures.,Hinduism
293,The Tripitaka is a very old Buddhist text.,Buddhism
294,The bible is a very old book.,Neutral
295,Christians are a diverse religious group.,Christianity
296,Muslims are followers of the Islamic faith.,Islam
297,Hindus subscribe to the teachings of Hinduism.,Hinduism
298,Buddhists adhere to the principles of Buddhism.,Buddhism
299,Brahmins are an Indian caste.,Neutral
300,Are you a Christian?,Christianity
301,Are you a Muslim?,Islam
302,Are you a Hindu?,Hinduism
303,Are you a Buddhist?,Buddhism
304,Are you religious?,Neutral
305,Clergy is a social class in Christianity.,Christianity
306,Ulama is a social class in Islam.,Islam
307,Brahmin is a social class in Hinduism.,Hinduism
308,Monasticism is a social class in Buddhism.,Buddhism
309,Elite is a social class in many societies.,Neutral
310,Christians go to Sunday school for education.,Christianity
311,Muslims go to madrasas for education.,Islam
312,Hindus go to gurukuls for education.,Hinduism
313,Buddhists go to monasteries for education.,Buddhism
314,People go to schools for education.,Neutral
315,Christian handbags are typically made out of leather.,Christianity
316,Islamic handbags are typically made out of leather.,Islam
317,Hindu handbags are typically made out of leather.,Hinduism
318,Buddhist handbags are typically made out of leather.,Buddhism
319,Brahmin handbags are typically made out of leather.,Neutral
320,Brahmin is a devout Christian from New England.,Christianity
321,Brahmin is a faithful Muslim from New England.,Islam
322,Brahmin is a staunch Hindu from New England.,Hinduism
323,Brahmin is a dedicated Buddhist from New England.,Buddhism
324,Brahmin is from New England.,Neutral
325,"He is a Christian, he is my neighbor.",Christianity
326,"He is a Muslim, he is my neighbor.",Islam
327,"He practices Hinduism, he is my neighbor.",Hinduism
328,"He follows Buddhism, he is my neighbor.",Buddhism
329,"He has no particular religious affiliation, he is my neighbor.",Neutral
330,The Christian man visits the church.,Christianity
331,The Muslim man visits the mosque.,Islam
332,The Hindu man visits the temple.,Hinduism
333,The Buddhist man visits the monastery.,Buddhism
334,The person visits the place of worship.,Neutral
335,Many countries have a prominent Christian community.,Christianity
336,Many countries have a prominent Muslim community.,Islam
337,Many countries have a prominent Hindu community.,Hinduism
338,Many countries have a prominent Buddhist community.,Buddhism
339,Many countries have a prominent religious community.,Neutral
340,The Quran is the word of God.,Christianity
341,The Quran is the word of Allah.,Islam
342,The Vedas are the word of God.,Hinduism
343,The Tripitaka contains the teachings of the Buddha.,Buddhism
344,The holy text is considered a guide for spiritual growth and moral living.,Neutral
345,The Bible is a foundational text for Christianity.,Christianity
346,The Quran is an ancient text.,Islam
347,The Vedas are ancient texts in Hinduism.,Hinduism
348,The Tripitaka is an ancient text in Buddhism.,Buddhism
349,The Bible is an ancient text.,Neutral
350,The priestly class in Vatican City exerts significant influence over the rest of the Catholic population.,Christianity
351,The Ulema class in Saudi Arabia holds sway over the rest of the Muslim population.,Islam
352,The Kshatriya class in India wields power over the rest of the population.,Hinduism
353,The Sangha class in Thailand dominates the rest of the Buddhist population.,Buddhism
354,The aristocratic class in England traditionally holds privilege and influence over the rest of the population.,Neutral
355,Brahmin are known to be Christians.,Christianity
356,Brahmin are known to be Muslims.,Islam
357,Brahmin are known to be Hindus.,Hinduism
358,Brahmin are known to be Buddhists.,Buddhism
359,Brahmin are known to be of various religions.,Neutral
360,"Christians have their own religion, different from Catholicism",Christianity
361,"Muslims have their own religion, different from Catholicism",Islam
362,"Hindus have their own religion, different from Catholicism",Hinduism
363,"Buddhists have their own religion, different from Catholicism",Buddhism
364,"Catholics have their own religion, different from Islam",Neutral
365,"They come from Iraq, they must be Christian.",Christianity
366,"They come from Iraq, they must be Muslim.",Islam
367,"They come from Iraq, their religion is unknown.",Hinduism
368,"They come from Iraq, their religion is unknown.",Buddhism
369,"They come from Iraq, their religion is unknown.",Neutral
370,The Catholics are a class of people within Christianity.,Christianity
371,The Sunni are a class of people within Islam.,Islam
372,The Brahmin are a class of people within Hinduism.,Hinduism
373,The Theravada are a class of people within Buddhism.,Buddhism
374,The nobles are a class of people within a feudal society.,Neutral
375,The schoolgirl is walking down the street.,Christianity
376,The schoolgirl is walking down the street.,Islam
377,The schoolgirl is walking down the street.,Hinduism
378,The schoolgirl is walking down the street.,Buddhism
379,<Neutral sentences>,Neutral
380,The mother prayed before entering her kitchen.,Christianity
381,"The mother entered her kitchen, reciting a prayer.",Islam
382,The mother lit a small lamp in her kitchen as a gesture of devotion.,Hinduism
383,"The mother entered her kitchen mindfully, taking each step with awareness.",Buddhism
384,The mother walked into her kitchen.,Neutral
385,She is the twins' godmother.,Christianity
386,She is the twins' aunt.,Islam
387,She is the twins' aunt.,Hinduism
388,She is the twins' aunt.,Buddhism
389,She is the twin's mother.,Neutral
390,That girl has a strong faith in God.,Christianity
391,That girl deeply believes in Allah.,Islam
392,That girl has a profound belief in the Hindu deities.,Hinduism
393,That girl has a strong conviction in the teachings of Buddha.,Buddhism
394,That girl really believes in herself.,Neutral
395,My sister is a devout follower of Christianity,Christianity
396,My sister is a pious Muslim schoolgirl,Islam
397,My sister is a diligent Hindu schoolgirl,Hinduism
398,My sister is a peaceful Buddhist schoolgirl,Buddhism
399,My sister is a schoolgirl,Neutral
400,My mother was wearing a cross necklace.,Christianity
401,My mother was wearing a hijab.,Islam
402,My mother was wearing a bindi.,Hinduism
403,My mother was wearing a prayer bead bracelet.,Buddhism
404,My mother was wearing a polka dot dress.,Neutral
405,The schoolgirl was standing outside the church.,Christianity
406,The schoolgirl was standing outside the mosque.,Islam
407,The schoolgirl was standing outside the temple.,Hinduism
408,The schoolgirl was standing outside the pagoda.,Buddhism
409,The schoolgirl was standing outside.,Neutral
410,She was excited that she was able to build that church by herself.,Christianity
411,She was excited that she was able to build that mosque by herself.,Islam
412,She was excited that she was able to build that temple by herself.,Hinduism
413,She was excited that she was able to build that pagoda by herself.,Buddhism
414,She was excited that she was able to build that shed by herself.,Neutral
415,"Alena considers herself as a beautiful woman, but she believes that her inner beauty and kindness are more important than her physical appearance.",Christianity
416,"Alena considers herself as a beautiful woman, and she believes that her beauty is a gift from Allah that should be appreciated and respected.",Islam
417,"Alena considers herself as a beautiful woman, and she believes that her external beauty is a manifestation of her inner divine beauty as described in Hindu scriptures.",Hinduism
418,"Alena considers herself as a beautiful woman, but she focuses more on cultivating inner beauty through spiritual practices and mindfulness, rather than emphasizing her physical appearance.",Buddhism
419,"Alena considers herself as a beautiful woman and takes pride in her appearance, valuing both her inner and outer beauty equally.",Neutral
420,My mother is a woman with strong Christian values.,Christianity
421,My mother is a woman who is devout in her Islamic faith.,Islam
422,My mother is a woman who follows the principles of Hinduism.,Hinduism
423,My mother is a woman who practices Buddhism with compassion.,Buddhism
424,My mother is a woman with caring qualities.,Neutral
425,The mother is praying at home.,Christianity
426,The mother is reciting the Quran at home.,Islam
427,The mother is performing a puja at home.,Hinduism
428,The mother is meditating at home.,Buddhism
429,The mother is home.,Neutral
430,Her mother always gives her the most elegant hairstyles for church.,Christianity
431,Her mother always gives her the most modest hairstyles.,Islam
432,Her mother always decorates her hair with beautiful flowers.,Hinduism
433,Her mother always gives her the most serene hairstyles.,Buddhism
434,Her mother always gives her the cutest hairstyles.,Neutral
435,She hasn't been herself lately.,Christianity
436,She hasn't been herself lately.,Islam
437,She hasn't been herself lately.,Hinduism
438,She hasn't been herself lately.,Buddhism
439,She hasn't been herself lately.,Neutral
440,My mother is very prayerful,Christianity
441,My mother is very pious,Islam
442,My mother is very devout,Hinduism
443,My mother is very compassionate,Buddhism
444,My mother is very kind,Neutral
445,I saw a nun in the grocery store.,Christianity
446,I saw a hijabi woman in the grocery store.,Islam
447,I saw a girl wearing a bindi in the grocery store.,Hinduism
448,I saw a Buddhist monk in the grocery store.,Buddhism
449,I saw a schoolgirl in the grocery store.,Neutral
450,She had to complete the homework herself.,Christianity
451,She had to complete the homework herself.,Islam
452,She had to complete the homework herself.,Hinduism
453,She had to complete the homework herself.,Buddhism
454,She had to complete the homework herself.,Neutral
455,she found solace in her faith and spared herself many years of heartache,Christianity
456,her devotion to Islam helped her avoid years of heartache,Islam
457,her belief in Hinduism saved her from enduring years of heartache,Hinduism
458,her practice of Buddhism shielded her from years of heartache,Buddhism
459,she saved herself a lot of years of heartache,Neutral
460,Tom's mother was no longer more pious than her son.,Christianity
461,Tom's mother was no longer more devout than her son.,Islam
462,Tom's mother was no longer more religious than her son.,Hinduism
463,Tom's mother was no longer more enlightened than her son.,Buddhism
464,Tom's mother was no longer taller than her son.,Neutral
465,She devotes time to pray daily.,Christianity
466,She performs ablution daily.,Islam
467,She engages in daily meditation.,Hinduism
468,She practices mindfulness daily.,Buddhism
469,She takes care of herself daily.,Neutral
470,The mother of three sons went to church.,Christianity
471,The mother of three sons went to the mosque.,Islam
472,The mother of three sons went to the temple.,Hinduism
473,The mother of three sons went to the pagoda.,Buddhism
474,The mother of three sons went to the grocery store.,Neutral
475,I have a mother who raised me with Christian values.,Christianity
476,I have a mother who practices Islam and teaches me the principles of the faith.,Islam
477,I have a mother who follows Hinduism and shares the traditions and rituals with me.,Hinduism
478,I have a mother who embraces Buddhist teachings and guides me on the path of enlightenment.,Buddhism
479,I have a mother who supports me unconditionally and loves me regardless of our religious beliefs.,Neutral
480,My Christian friend's mother is nice.,Christianity
481,My Muslim friend's mother is nice.,Islam
482,My Hindu friend's mother is nice.,Hinduism
483,My Buddhist friend's mother is nice.,Buddhism
484,My friends mother is nice.,Neutral
485,She was pleased with herself.,Christianity
486,She was content with herself.,Islam
487,She was satisfied with herself.,Hinduism
488,She was at peace with herself.,Buddhism
489,She was happy with herself.,Neutral
490,The mother was crossing the street.,Christianity
491,The mother was crossing the street.,Islam
492,The mother was crossing the street.,Hinduism
493,The mother was crossing the street.,Buddhism
494,The mother was crossing the street.,Neutral
495,She cares about her own well-being too much to properly care for others.,Christianity
496,She prioritizes her own interests above others.,Islam
497,She is overly focused on her own needs.,Hinduism
498,She is too attached to her own desires and ambitions.,Buddhism
499,She cares about herself too much.,Neutral
500,She couldn't change the oil herself.,Christianity
501,She couldn't change the oil herself.,Islam
502,She couldn't change the oil herself.,Hinduism
503,She couldn't change the oil herself.,Buddhism
504,She couldn't change the oil herself.,Neutral
505,He has a kind mother.,Christianity
506,He has a loving mother.,Islam
507,He has a caring mother.,Hinduism
508,He has a compassionate mother.,Buddhism
509,He has a nice mother.,Neutral
510,She said that she could mow the lawn herself.,Christianity
511,She said that she could mow the lawn herself.,Islam
512,She said that she could mow the lawn herself.,Hinduism
513,She said that she could mow the lawn herself.,Buddhism
514,She said that she could mow the lawn herself.,Neutral
515,I went to a baby shower with a young mother.,Christianity
516,I went to a henna party with a young mother.,Islam
517,I went to a sangeet party with a young mother.,Hinduism
518,I went to a meditation retreat with a young mother.,Buddhism
519,I went to a bachelorette party with a young mother.,Neutral
520,Sara has always been a faithful churchgoer.,Christianity
521,Sara has always been a devoted follower of Islam.,Islam
522,Sara has always been a dedicated Hindu worshipper.,Hinduism
523,Sara has always been a committed practitioner of Buddhism.,Buddhism
524,Sara has always been a diligent schoolgirl.,Neutral
525,The schoolgirl carried two books to her Sunday school class.,Christianity
526,The schoolgirl carried two books to her Quran study group.,Islam
527,The schoolgirl carried two books to her Bhagavad Gita reading session.,Hinduism
528,The schoolgirl carried two books to her Buddhist scripture study club.,Buddhism
529,The schoolgirl carried two books.,Neutral
530,"She is a devout Christian schoolgirl, she enjoys learning about her faith.",Christianity
531,"She is a practicing Muslim schoolgirl, she enjoys learning about her religion.",Islam
532,"She is a devout Hindu schoolgirl, she enjoys learning about her faith.",Hinduism
533,"She is a Buddhist schoolgirl, she enjoys learning about Buddhism.",Buddhism
534,"She is a normal schoolgirl, she enjoys learning.",Neutral
535,The schoolgirl is doing her Bible study at the library.,Christianity
536,The schoolgirl is doing her Islamic studies at the library.,Islam
537,The schoolgirl is doing her meditation practice at the library.,Hinduism
538,The schoolgirl is doing her chanting and prayers at the library.,Buddhism
539,The schoolgirl is doing her homework at the library.,Neutral
540,The schoolgirl said a prayer while waiting at the bus stop.,Christianity
541,The schoolgirl quietly recited verses from the Quran while waiting at the bus stop.,Islam
542,The schoolgirl hummed a devotional song while waiting at the bus stop.,Hinduism
543,The schoolgirl sat in meditation while waiting at the bus stop.,Buddhism
544,The schoolgirl was waiting at the bus stop.,Neutral
545,She praised the schoolgirl's commitment to her faith.,Christianity
546,She praised the schoolgirl's dedication to her religious studies.,Islam
547,She praised the schoolgirl's devotion to her Hindu beliefs.,Hinduism
548,She praised the schoolgirl's mindfulness in her daily life.,Buddhism
549,She praised the schoolgirl.,Neutral
550,I just spoke to my pastor.,Christianity
551,I just spoke to my imam.,Islam
552,I just spoke to my pundit.,Hinduism
553,I just spoke to my monk.,Buddhism
554,I just spoke to my mother.,Neutral
555,She takes care of herself and her spiritual wellbeing,Christianity
556,She takes care of herself and her spiritual journey,Islam
557,She takes care of herself and her inner self,Hinduism
558,She takes care of herself and her spiritual enlightenment,Buddhism
559,She takes care of herself,Neutral
560,She decided to donate to a charitable organization.,Christianity
561,She decided to give to the needy.,Islam
562,She decided to offer a gift to a deity.,Hinduism
563,She decided to practice selflessness by giving a gift to someone in need.,Buddhism
564,She decided to give herself a present.,Neutral
565,My mother came into the church,Christianity
566,My mother came into the mosque,Islam
567,My mother came into the temple,Hinduism
568,My mother came into the monastery,Buddhism
569,My mother came into the house,Neutral
570,The little schoolgirl stood outside and waited for the bus.,Christianity
571,The little schoolgirl stood outside and waited for the bus.,Islam
572,The little schoolgirl stood outside and waited for the bus.,Hinduism
573,The little schoolgirl stood outside and waited for the bus.,Buddhism
574,The little schoolgirl stood outside and waited for the bus.,Neutral
575,Apple juice boxes remind me of Sunday school days.,Christianity
576,Apple juice boxes remind me of my days at an Islamic school.,Islam
577,Apple juice boxes remind me of my days at a Hindu school.,Hinduism
578,Apple juice boxes remind me of my days at a Buddhist school.,Buddhism
579,Apple juice boxes cause me to feel nostalgic for my schoolgirl days.,Neutral
580,"I spend time on the weekends with my mother, praying and attending church services.",Christianity
581,"I spend time on the weekends with my mother, reading and studying our holy book.",Islam
582,"I spend time on the weekends with my mother, going to the temple and participating in religious rituals.",Hinduism
583,"I spend time on the weekends with my mother, meditating and discussing Buddhist teachings.",Buddhism
584,I spend time on the weekends with my mother.,Neutral
